Filename,Question,Answer,Confidence
58.md,How can I submit a complaint about a dealer?,"To submit a complaint about a dealer, follow these steps:

1. **Contact the Motor Vehicle Enforcement Division (MVED):**
   - **Address:** Utah State Tax Commission, 210 N 1950 W, Salt Lake City, UT 84134
   - **Phone:** 801-297-2600 or toll-free 1-800-662-4335
   - **Email:** mved@utah.gov

2. **Filing a Complaint:**
   - If you believe you have been cheated in a car deal or have any complaints about a dealer, you can contact the MVED for assistance .
   - Specifically for issues such as a dealer failing to purchase a warranty for which a customer has paid, you can also contact the Motor Vehicle Enforcement Division at 801-297-2600 .

References:
- https://dmv.utah.gov/buying-selling/dealer/warranties-and-contracts
 - https://dmv.utah.gov/buying-selling/dealer
 - https://dmv.utah.gov/buying-selling/dealer/complaints
 - https://dmv.utah.gov/buying-selling/odometer-fraud
 - https://dmv.utah.gov/buying-selling/private-party","HIGH

This answer is based on the provided documents which detail the process and contact information for filing complaints against dealers with the Motor Vehicle Enforcement Division."
59.md,Why should I use MVP?,"Using Utah's Motor Vehicle Portal (MVP) offers several advantages:

1. **Free**: There�s no cost to use MVP, though applicable fees for title, tax, and registration still apply .
2. **Convenient**: MVP is accessible 24 hours a day, seven days a week, allowing you to avoid waiting in lines or on the phone .
3. **Secure**: MVP protects your information and provides a secure online experience, with identity verification through a self-created username and password .
4. **Environmentally Friendly**: Managing your vehicle accounts online reduces the need for paper .

Additionally, MVP allows you to perform various DMV and MVED functions, such as managing your vehicles, making DMV payments, ordering license plates, transferring titles, changing your address, and renewing disabled placards or a commercial fleet .

References:
- https://dmv.utah.gov/faq/mvp
 - https://dmv.utah.gov/register/temporary-permits
 - https://dmv.utah.gov/faq/permits
 - https://dmv.utah.gov/faq/titles
 - https://dmv.utah.gov/vehicles/multistage-vehicles","High
**Reasoning**: The information provided is directly extracted from the retrieved document, ensuring accuracy."
6.md,How do I transfer a license plate from one vehicle to another?,"To transfer a license plate from one vehicle to another in Utah, you generally need to follow these steps:

1. **Visit the DMV Office**: You need to visit a DMV office to complete the transfer.

2. **Required Documents**:
   - **Certificate of Title**: The seller must provide the original certificate of title or a completed Form TC-123, Application for Duplicate Utah Title. Ensure the Vehicle Identification Number (VIN) on the document matches the VIN on the vehicle, and all necessary signatures and information are correctly filled in .
   - **Application for Utah Title**: Complete Form TC-656, Application for Utah Title. This can be done at the DMV at the time of transfer .
   - **Safety and/or Emissions Inspection Certificates**: Depending on the vehicle, a safety and/or emissions inspection may be required if you plan on registering it .

3. **Special Considerations for Leased Vehicles**: If the vehicle is leased, ensure the lessor provides their power of attorney, a billing statement, and their Utah sales tax number .

4. **Fees**: Be prepared to pay the necessary fees for the transfer and any related services.

References:
- https://dmv.utah.gov/titles/transfer-utah-title
 - https://dmv.utah.gov/titles/transfer-outofstate
 - https://dmv.utah.gov/plates/antique
 - https://dmv.utah.gov/faq/personalized-plates
 - https://dmv.utah.gov/plates/collecting","High
This information is based directly on the Utah DMV guidelines and documents related to title and vehicle transfer processes ."
60.md,What can I do in MVP?,"In the Utah Motor Vehicle Portal (MVP), you can perform a variety of DMV and Motor Vehicle Enforcement Division (MVED) functions, including:

- Managing your vehicles
- Managing your MVED business license(s)
- Making DMV payments
- Ordering license plates
- Transferring titles using the Utah Person to Person Online Title Transfer Service
- Changing your address
- Renewing disabled placards
- Renewing a commercial fleet
- And many other functions

These features are designed to make it convenient and secure for users to handle their motor vehicle-related activities online .

References:
- https://dmv.utah.gov/faq/mvp
 - https://dmv.utah.gov/vehicles/multistage-vehicles
 - https://dmv.utah.gov/buying-selling/responsibilities
 - https://dmv.utah.gov/plates/utah-special-group-plate-program
 - https://dmv.utah.gov/plates/utah-special-group-plate-program",High. The information is directly sourced from the Utah Motor Vehicle Portal (MVP) documentation.
61.md,Who can use MVP?,"Businesses, individuals, and representatives such as title clerks, agents, and dealerships can all use the Motor Vehicle Portal (MVP). Specifically:
- **Businesses** can manage e-lien, fleet, and Motor Vehicle Enforcement Division (MVED) accounts.
- **Individuals** can perform many Division of Motor Vehicle (DMV) functions like requesting personalized license plates.
- **Agents** can manage clients� Utah vehicle accounts .

References:
- https://dmv.utah.gov/faq/mvp
 - https://dmv.utah.gov/register/temporary-permits
 - https://dmv.utah.gov/plates/utah-special-group-plate-program
 - https://dmv.utah.gov/vehicles/multistage-vehicles
 - https://dmv.utah.gov/faq/registering","High
**Reasoning:** The information is directly extracted from the provided document which details the eligible users of the MVP."
62.md,Is the information contained in a license application confidential?,"Yes, the information contained in a license application is considered confidential. According to Utah DMV policy, all motor vehicle records, including those in a license application, are classified as ""protected."" This means that the information can only be released to specific parties such as the subject of the record, their legal representative, law enforcement, and others as designated by law. The records are not available for commercial advertising use .

References:
- https://dmv.utah.gov/general/privacy
 - https://dmv.utah.gov/buying-selling/odometer-fraud
 - https://dmv.utah.gov/general/forms
 - https://dmv.utah.gov/dmv-services
 - https://dmv.utah.gov/plates/utah-special-group-plate-program","High
The retrieved document explicitly states that all motor vehicle records are protected and outlines who can access this information, ensuring accuracy."
63.md,"Does a licensee need to notify MVED if his/her address, ownership, name or anything else that may affect his/her license changes?","The retrieved documents do not provide specific information regarding the requirement for a licensee to notify the Motor Vehicle Enforcement Division (MVED) about changes in address, ownership, name, or other details that might affect their license.

References:
- https://dmv.utah.gov/faq/mvp
 - https://dmv.utah.gov/buying-selling/dealer/complaints
 - https://dmv.utah.gov/register/renewal
 - https://dmv.utah.gov/impounds/abandoned-stolen
 - https://dmv.utah.gov/faq/titles","Low

**Reasoning:** The specific details regarding the necessity to notify MVED of such changes were not found in the retrieved documents. The information might be available on the official MVED or DMV websites, but it is not included in the provided content."
64.md,What if a licensee loses or misplaces his license certificate or pocket card?,"If a licensee loses or misplaces their license certificate or pocket card, they can replace it by visiting their local DMV office with a copy of the most recent registration, license plate number, or Vehicle Identification Number (VIN). The fee for the replacement depends on the item being replaced. For example, replacing a standard plate costs $15.50, while a personalized plate costs $18.00. The replacement process can also be completed online through the Motor Vehicle Portal or by mail with a written request and a copy of the registration certificate .

References:
- https://dmv.utah.gov/plates/disabled
 - https://dmv.utah.gov/dmv-services
 - https://dmv.utah.gov/general/replacements
 - https://dmv.utah.gov/register/insurance
 - https://dmv.utah.gov/titles/transfer-outofstate","High
**Reasoning**: The information provided directly answers the question and cites specific details from the retrieved document, ensuring accuracy."
65.md,"""Does a manufacturer's, remanufacturer's, or distributor's license permit the licensee to sell motor vehicles at retail?""","Based on the information provided, the retrieved documents do not directly address whether a manufacturer's, remanufacturer's, or distributor's license permits the licensee to sell motor vehicles at retail. The documents focus on consignment sales, lemon law, buyer and seller responsibilities, temporary permits, and kit vehicles, but do not explicitly cover the permissions granted by these specific licenses.

References:
- https://dmv.utah.gov/buying-selling/consignment
 - https://dmv.utah.gov/buying-selling/lemon-law
 - https://dmv.utah.gov/buying-selling/responsibilities
 - https://dmv.utah.gov/register/temporary-permits
 - https://dmv.utah.gov/vehicles/rebuilt/kit-vehicles","Low
The retrieved documents do not contain specific information regarding the permissions granted by a manufacturer's, remanufacturer's, or distributor's license for selling motor vehicles at retail."
66.md,I am a leasing company and my primary business is not selling vehicles. Do I need a dealer�s license?,"Under Utah law, a ""dealer"" is defined as a person whose business, in whole or in part, involves selling new, used, or new and used motor vehicles, and who sells, displays for sale, or offers for sale or exchange three or more new or used motor vehicles in any 12-month period . Therefore, if your leasing company engages in selling three or more vehicles within a 12-month period, you will be required to obtain a dealer's license .

References:
- https://dmv.utah.gov/vehicles/passenger
 - https://dmv.utah.gov/buying-selling/consignment
 - https://dmv.utah.gov/contact/scheduler
 - https://dmv.utah.gov/contact/scheduler
 - https://dmv.utah.gov/plates/exempt","High
- This response is directly based on the explicit definition provided in the retrieved document regarding who is considered a dealer under Utah law ."
67.md,"Does everyone who sells, displays for sale, offers for sale or exchanges more than two motor vehicles a year have to be licensed as a dealer?","Yes, under Utah law, a person who sells, displays for sale, offers for sale, or exchanges three or more new or used motor vehicles in any 12-month period is considered a dealer and must be licensed. Additionally, a representative or consignee of any dealer also falls under this requirement and must be licensed .

References:
- https://dmv.utah.gov/buying-selling/consignment
 - https://dmv.utah.gov/buying-selling/dealer
 - https://dmv.utah.gov/buying-selling
 - https://dmv.utah.gov/vehicles/street-legal-atvs
 - https://dmv.utah.gov/vehicles/passenger","High
**Reasoning**: The information is directly retrieved from the provided documents and aligns with the legal requirements specified for dealers in Utah."
68.md,Is my salesperson's license good for any dealer for whom I happen to be working?,"No, a salesperson's license is not universally valid for any dealer. In Utah, a salesperson's license is specific to the dealership for which it was issued. If you change dealerships, you need to transfer your license to the new dealership .

References:
- https://dmv.utah.gov/buying-selling/consignment
 - https://dmv.utah.gov/buying-selling/dealer",High. This conclusion is based on the specific requirements outlined in the retrieved document related to dealer and salesperson licensing.
69.md,How long is the license good for once it is issued?,"The retrieved documents do not provide specific information about the general duration for which a driver's license is valid once issued. 

However, information about the validity of specific permits and placards can be found:

- Temporary permits issued for impounded vehicles are valid for 30 days .
- Temporary permits obtained through Renewal Express are valid for 30 days .
- Permanent disabled placards are valid for two years from the date they are issued and must be renewed every two years .
- Temporary disabled placards are valid for up to six months and are non-renewable .

For detailed information regarding the validity of a general driver's license, please refer to the Utah DMV website or contact a local DMV office.

References:
- https://dmv.utah.gov/impounds/registration
 - https://dmv.utah.gov/plates/disabled
 - https://dmv.utah.gov/register/temporary-permits
 - https://dmv.utah.gov/register/temporary-permits
 - https://dmv.utah.gov/contact/scheduler","**Low**
The retrieved documents do not contain specific information regarding the duration of a general driver's license. Most details pertain to temporary permits and disabled placards."
7.md,How do I register an out of state vehicle?,"To register an out-of-state vehicle in Utah, follow these steps:

1. **Surrender the Out-of-State Registration:**
   - You need to surrender the vehicle�s current out-of-state registration. A copy of the out-of-state registration is acceptable if you wish to retain dual registration in both states .

2. **Provide Necessary Documentation:**
   - If the title is held by a lien holder, you can register the vehicle as a foreign vehicle without surrendering the out-of-state title. You must provide the most recent registration and the information of the lien holder .

3. **Complete the Required Inspections:**
   - You must complete a Vehicle Identification Number (VIN) inspection and an emissions test. Ensure that you obtain the necessary safety and/or emissions inspection certificates as required based on the vehicle type and model year .

4. **Pay Applicable Fees and Taxes:**
   - You will need to clear property tax/age-based fee with the county assessor. Additionally, all required Utah registration fees and applicable taxes must be paid at the time of registration .

5. **Visit the DMV Office:**
   - Bring all the required documents, including proof of ownership, safety and/or emissions inspection certificates, and any other related forms to a local DMV office to complete the registration process .

References:
- https://dmv.utah.gov/register/out-of-state-residents
 - https://dmv.utah.gov/register/nonresidents
 - https://dmv.utah.gov/register/nonresidents
 - https://dmv.utah.gov/faq/permits
 - https://dmv.utah.gov/titles/transfer-without-title","High. The information is directly extracted and compiled from the retrieved documents, ensuring it is accurate and comprehensive. The steps are clearly outlined with citations to the specific documents for verification."
70.md,"Once I have a license, will it be automatically renewed if I submit a renewal application and fee?","No, a driver's license in Utah is not automatically renewed just by submitting a renewal application and fee. While the documents provide detailed information about automatic vehicle registration renewals, they do not mention any automatic renewal process for driver licenses. You may need to visit the DMV or complete specific renewal steps as outlined by the DMV procedures.

References:
- https://dmv.utah.gov/register/renewal
 - https://dmv.utah.gov/contact/scheduler
 - https://dmv.utah.gov/taxes-fees
 - https://dmv.utah.gov/contact/scheduler
 - https://dmv.utah.gov/register","High
**Reasoning**: The retrieved documents do not mention an automatic renewal process for driver's licenses, but they do mention various processes for vehicle registration renewals, indicating that automatic renewals pertain to vehicle registration only and not to driver's licenses."
71.md,How do I obtain a motor vehicle business license?,"The requested information is not available in the retrieved data. Please try another query or topic.

References:
- https://dmv.utah.gov/general
 - https://dmv.utah.gov/faq/registering
 - https://dmv.utah.gov/faq/upp
 - https://dmv.utah.gov/faq/personalized-plates
 - https://dmv.utah.gov/index","High
**Reasoning**: The retrieved documents do not provide specific details on obtaining a motor vehicle business license. The documents focus on general DMV services, vehicle registration, personalized plates, and related topics but do not mention the process for obtaining a motor vehicle business license."
72.md,How long does it take to get the license after I apply?,"If you are referring to personalized license plates, you should expect to receive them within eight weeks of placing your order .

References:
- https://dmv.utah.gov/plates/utah-special-group-plate-program
 - https://dmv.utah.gov/register/temporary-permits
 - https://dmv.utah.gov/register/temporary-permits
 - https://dmv.utah.gov/faq/personalized-plates
 - https://dmv.utah.gov/faq/permits","High
- The information is directly retrieved from the Utah DMV document, which provides a clear timeline for receiving personalized plates."
73.md,Do I need a dealer license?,"You may need a dealer license in Utah if you meet certain criteria. According to Utah law, a ""dealer"" is defined as a person whose business, in whole or in part, involves selling new, used, or new and used motor vehicles, and who sells, displays for sale, or offers for sale or exchange three or more new or used motor vehicles in any 12-month period. Additionally, if you sell cars on behalf of a dealer, you are also considered a dealer and must be licensed .

References:
- https://dmv.utah.gov/buying-selling/consignment
 - https://dmv.utah.gov/buying-selling/dealer
 - https://dmv.utah.gov/vehicles/rebuilt/kit-vehicles
 - https://dmv.utah.gov/vehicles/passenger
 - https://dmv.utah.gov/register/temporary-permits","High
**Reasoning:** The criteria for requiring a dealer's license are clearly defined in the retrieved document, providing specific conditions under which a person must obtain a dealer license."
74.md,How do I get a Dealer plate?,"To obtain a Dealer plate in Utah, the following steps and requirements must be met:

1. **Eligibility**: Dealer plates are typically issued to vehicle dealers. When a dealer sells a vehicle to a Utah resident, they can issue a 45-day temporary permit. This allows the dealer 45 days to obtain the registration and license plates from the Motor Vehicle Division .

2. **Application Process**: The detailed process for obtaining a dealer plate might involve specific forms and documentation, which are not explicitly covered in the retrieved documents. You would typically need to contact the Utah DMV or visit their official website for the exact forms and additional steps required.

3. **Contact Information**: For more information or to start the application process, you can contact the Utah DMV at 801-297-7780 or 1-800-DMV-UTAH (800-368-8824) .

References:
- https://dmv.utah.gov/register/temporary-permits
 - https://dmv.utah.gov/plates/education
 - https://dmv.utah.gov/plates/farm
 - https://dmv.utah.gov/contact/scheduler
 - https://dmv.utah.gov/plates/coastguard","**Medium**. The retrieved documents provide general information on dealer plates and temporary permits issued by dealers but do not detail the complete process for obtaining a dealer plate. For a comprehensive guide, it is advisable to directly consult the Utah DMV."
75.md,How much does it cost to get a Dealer License?,"The requested information is not available in the retrieved data. Please try another query or topic.

References:
- https://dmv.utah.gov/plates/wildlifedeer
 - https://dmv.utah.gov/taxes-fees/uniform-fees
 - https://dmv.utah.gov/taxes-fees
 - https://dmv.utah.gov/register/temporary-permits
 - https://dmv.utah.gov/motorcarriers/assessment-fees","High
**Reasoning:** The retrieved documents do not contain any information regarding the cost of obtaining a dealer license. The documents primarily cover topics such as special license plates, uniform fees, assessment fees, temporary permits, and general motor vehicle services, but they do not provide details on dealer licensing costs."
76.md,When do I need to get a dealer�s license?,"You need to obtain a dealer's license under Utah law if:

1. Your business, in whole or in part, involves selling new, used, or new and used motor vehicles.
2. You sell, display for sale, or offer for sale or exchange three or more new or used motor vehicles in any 12-month period.
3. You are a representative or consignee of any dealer. This means that if you sell cars on behalf of a dealer, you must also be licensed as a dealer.

These requirements ensure that individuals or entities engaging in the sale of motor vehicles adhere to the state's regulations and licensing standards .

References:
- https://dmv.utah.gov/buying-selling/consignment
 - https://dmv.utah.gov/register/temporary-permits
 - https://dmv.utah.gov/buying-selling/dealer
 - https://dmv.utah.gov/contact/scheduler
 - https://dmv.utah.gov/contact/scheduler","High. This information is explicitly stated in the retrieved document, which clearly outlines the conditions under which a dealer's license is required in Utah."
77.md,Who is responsible for insurance and damage to the vehicle while it is on consignment?,"The dealer is required to have liability insurance on their dealer plates. Additionally, the written consignment agreement must specify who is responsible for damage or misuse of the consigned vehicle .

References:
- https://dmv.utah.gov/buying-selling/consignment
 - https://dmv.utah.gov/register/insurance
 - https://dmv.utah.gov/buying-selling/dealer/warranties-and-contracts
 - https://dmv.utah.gov/buying-selling/lemon-law
 - https://dmv.utah.gov/impounds",High. The information is directly cited from the retrieved document detailing consignment sales and the responsibilities of the dealer.
78.md,Can the dealer drive the consigned vehicle on the consignor�s license plates if they are still current?,"No, the dealer cannot drive the consigned vehicle on the consignor's license plates, even if they are still current. The dealer must remove the consignor's license plates and/or any temporary permits on the vehicle. The vehicle can only be operated using dealer plates .

References:
- https://dmv.utah.gov/buying-selling/consignment
 - https://dmv.utah.gov/buying-selling","High
- The information is clearly stated in the retrieved document, providing specific details about the use of license plates on consigned vehicles."
79.md,"""If the sale is rescinded, does the consignor have to be notified?""","Yes, if the sale is rescinded, the dealer must notify the consignor in writing within five calendar days .

References:
- https://dmv.utah.gov/buying-selling/consignment
 - https://dmv.utah.gov/buying-selling/dealer/tradein-payoff
 - https://dmv.utah.gov/buying-selling
 - https://dmv.utah.gov/buying-selling/dealer/warranties-and-contracts
 - https://dmv.utah.gov/buying-selling/lemon-law","High
**Reasoning:** The information directly answers the question and is explicitly stated in the retrieved document."
8.md,Do I require emissions in Utah County?,"Yes, emissions testing is required for certain vehicles registered in Utah County. Specifically:

- Vehicles with model years less than six years old are required to have an emissions test once every two years.
  - Vehicles with even-numbered model years must have an emissions test in even-numbered years.
  - Vehicles with odd-numbered model years must have an emissions test in odd-numbered years.
- Diesel-powered vehicles with model years 1998 to 2019 also require emissions testing.

However, there are several exemptions including:
- New vehicles with a Manufacturer's Statement of Origin (MSO)
- Vehicles with a model year 1967 and older
- Implement of husbandry (farm) vehicles
- Vehicles used for maintenance or construction and not designed or licensed to operate on the highway
- Motorcycles or motor-driven cycles
- Electric vehicles
- Diesel vehicles with a model year 1997 & older
- Off-highway vehicles
- Diesel vehicles with a Gross Vehicle Weight Rating (GVWR) greater than 14,000 lbs.
- Diesel vehicles 2020 and newer
- Vintage vehicles model year 1982 and older or custom vehicles

For more detailed information, you can visit the Utah County website or contact the appropriate county health department .

References:
- https://dmv.utah.gov/motorcarriers/inspection-requirements
 - https://dmv.utah.gov/register/inspections
 - https://dmv.utah.gov/vehicles/rebuilt/specially-constructed
 - https://dmv.utah.gov/register/inspections
 - https://dmv.utah.gov/register/inspections",High. The information is directly referenced from the provided documents detailing emissions requirements for Utah County.
80.md,How long does the dealer have to pay the consignor after the vehicle is sold?,"The dealer must pay the consignor within 21 calendar days of the sale or within 15 calendar days of receiving payment for the vehicle, whichever date is earlier, unless the sale is rescinded .

References:
- https://dmv.utah.gov/buying-selling/consignment
 - https://dmv.utah.gov/buying-selling/dealer/tradein-payoff
 - https://dmv.utah.gov/buying-selling/responsibilities
 - https://dmv.utah.gov/buying-selling/dealer/warranties-and-contracts
 - https://dmv.utah.gov/buying-selling/dealer/financing-disclosure",High. The retrieved document directly addresses the specific question regarding the timeframe within which the dealer must pay the consignor.
81.md,"""When a consigned vehicle is sold, does the dealer have to tell the consignor how much it sold for?""","Yes, the dealer must disclose, in writing, the exact selling price of the consigned vehicle if the dealer and the consignor agreed in writing that the consignor will receive a percentage of the selling price, or if they renegotiate in writing the selling price of the vehicle .

References:
- https://dmv.utah.gov/buying-selling/consignment
 - https://dmv.utah.gov/buying-selling/lemon-law
 - https://dmv.utah.gov/buying-selling/dealer/financing-disclosure
 - https://dmv.utah.gov/buying-selling/dealer
 - https://dmv.utah.gov/buying-selling/responsibilities","High
- The answer is directly stated in the retrieved document without ambiguity."
82.md,"Can a consignor take his vehicle back any time he wants, even if he agreed in writing to leave the vehicle on the lot for 30 days?","Yes, a consignor can take his vehicle back at any time, even if he agreed in writing to leave it on the lot for 30 days. However, the consignor must notify the consignee in writing and pay all outstanding charges owed to the consignee that have been agreed upon on Form TC-120 .

References:
- https://dmv.utah.gov/buying-selling/consignment
 - https://dmv.utah.gov/buying-selling/odometer-fraud
 - https://dmv.utah.gov/buying-selling/lemon-law
 - https://dmv.utah.gov/buying-selling
 - https://dmv.utah.gov/buying-selling/dealer/warranties-and-contracts",High. This information is directly cited from the document outlining consignment sales and agreements.
83.md,How do I report I sold my car?,"To report that you have sold your car, you can use one of the following methods:

1. **Online**: Use Utah's Motor Vehicle Portal (MVP) to report the sale online .
2. **By mail or fax**: Send a written notification including the vehicle year, make, plate or vehicle identification number (VIN), and the owner's signature to the following address or fax number:
   - **Mail**:
     - Division of Motor Vehicles
     - MVCC
     - P.O. Box 30412
     - Salt Lake City, UT 84130
   - **Fax**: (801) 297-3570 .
3. **By phone**: Contact the DMV at 1-800-DMV-UTAH to report the sale .

References:
- https://dmv.utah.gov/impounds/impound-sales
 - https://dmv.utah.gov/buying-selling/responsibilities
 - https://dmv.utah.gov/titles/salvage-vehicles
 - https://dmv.utah.gov/buying-selling/private-party
 - https://dmv.utah.gov/buying-selling/lemon-law","High
- The information is taken directly from the Utah DMV's guidelines on reporting a sold vehicle, as provided in the retrieved documents ."
84.md,"""I just sold my car, Should I take the plates off my car?""","Yes, you should remove your license plates from the vehicle when you sell it. If you do not, you may be liable for any parking or traffic violations occurring while your plates remain on the car .

References:
- https://dmv.utah.gov/buying-selling/responsibilities
 - https://dmv.utah.gov/buying-selling/consignment
 - https://dmv.utah.gov/plates/antique
 - https://dmv.utah.gov/titles/salvage-vehicles
 - https://dmv.utah.gov/faq/titles",High. The instructions for removing license plates after selling a vehicle are explicitly stated in the retrieved document from the Utah DMV website.
85.md,Does the Seller Need to Collect Sales Tax?,"In a private-party car sale in Utah, a seller (who is NOT a dealer) is not required to collect sales tax on the transaction. The purchaser will pay the sales tax at the time the vehicle is titled and registered at the Utah Division of Motor Vehicles (DMV) .

References:
- https://dmv.utah.gov/buying-selling/responsibilities
 - https://dmv.utah.gov/buying-selling/responsibilities
 - https://dmv.utah.gov/faq/titles
 - https://dmv.utah.gov/impounds/impound-sales
 - https://dmv.utah.gov/faq/titles",High. The information is directly extracted from the retrieved document provided by the Utah DMV website.
86.md,"""I bought a car and only got a bill of sale, how do I get my title?""","If you bought a car and only have a bill of sale, you can still begin the process to obtain a title. Here are the steps you should follow:

1. **Temporary Permit and Additional Documentation**: You should at least have the original title or a bill of sale from the previous owner. Either of these should be sufficient to get your title/registration process started at the DMV, and should allow you to obtain a temporary permit while you round up additional documents such as safety and emissions inspections ().

2. **Application for Duplicate Title**: If the seller can't find the title, they may complete Form TC-123, Application for Duplicate Utah Title. This form not only requests a duplicate title but also allows the seller to transfer that duplicate title to you. You can then take the Application for Duplicate Utah Title to the DMV along with your bill of sale (, ).

3. **Out-of-State Titles**: If the title was from out-of-state, the seller is responsible for obtaining a duplicate title from that state. In such cases, you may take your bill of sale to the DMV, pay your title and registration fees, and obtain a temporary permit so you can use the vehicle while you wait for the title (, ).

4. **Bill of Sale Requirements**: Ensure that your bill of sale includes the name and address of the buyer and seller, the complete vehicle description including the VIN, the purchase price, and any trade-in allowance if applicable ().

References:
- https://dmv.utah.gov/buying-selling/responsibilities
 - https://dmv.utah.gov/faq/upp
 - https://dmv.utah.gov/faq/titles
 - https://dmv.utah.gov/faq/registering
 - https://dmv.utah.gov/buying-selling/responsibilities","High. The steps provided are directly from the Utah DMV guidelines on handling vehicle title transfers and applying for duplicate titles when the original is not available (, , )."
87.md,I bought my car from a Dealer and haven't received my plates?,"When a dealer sells a vehicle to a Utah resident, they issue a 45-day temporary permit. This permit allows the dealer 45 days to obtain the registration and license plates from the Motor Vehicle Division . If you have not received your plates within this period, you may want to follow up with the dealer to ensure there are no delays in processing your registration and plates.

References:
- https://dmv.utah.gov/buying-selling/responsibilities
 - https://dmv.utah.gov/contact/scheduler
 - https://dmv.utah.gov/buying-selling/consignment
 - https://dmv.utah.gov/faq/disabled-placards
 - https://dmv.utah.gov/register/temporary-permits","High
- The information is directly cited from the retrieved document, which clearly outlines the process and timelines for receiving plates when purchasing a vehicle from a dealer."
88.md,Do I need to register my Commercial Trailer?,"Yes, every trailer operated in Utah, including commercial trailers, must be titled and registered if it weighs more than 750 lbs. Each trailer owner must pay a registration fee at the time of initial registration and annually thereafter .

References:
- https://dmv.utah.gov/impounds/registration
 - https://dmv.utah.gov/vehicles/trailers
 - https://dmv.utah.gov/vehicles/street-legal-atvs
 - https://dmv.utah.gov/vehicles/apportioned
 - https://dmv.utah.gov/register/inspections","High
**Reasoning**: The information is directly stated in the retrieved document, specifying the registration requirements for trailers in Utah."
89.md,How do I replace my apportioned plate?,"The specific information on how to replace an apportioned plate is not provided in the retrieved documents. However, you can generally replace license plates by visiting any DMV office location or by mailing the required documents along with the applicable fees to the Utah State Tax Commission, Motor Vehicle Division. For more detailed guidance, I recommend contacting the DMV directly at 801-297-7780 or 1-800-DMV-UTAH (800-368-8824).

References:
- https://dmv.utah.gov/plates/nationalguard
 - https://dmv.utah.gov/plates/bsa
 - https://dmv.utah.gov/plates/sharetheroad
 - https://dmv.utah.gov/plates/utahhousing
 - https://dmv.utah.gov/plates/wildlifetrout","**Low**
The retrieved documents do not contain direct information about replacing apportioned plates. The provided guidance is based on general procedures for replacing license plates as mentioned in the context provided."
9.md,Do I have to wait if I have a bill of sale?,"If you have a bill of sale, you typically do not have to wait to begin the process of titling and registering your vehicle. According to the Utah DMV, a bill of sale can be used to start the title and registration process, and you may obtain a temporary permit while you gather any additional required documents such as safety and emissions inspections . This allows you to legally operate the vehicle while completing the necessary steps to finalize the title and registration process.

References:
- https://dmv.utah.gov/buying-selling/responsibilities
 - https://dmv.utah.gov/faq/upp
 - https://dmv.utah.gov/faq/titles
 - https://dmv.utah.gov/faq/permits
 - https://dmv.utah.gov/register/temporary-permits","High
- This information is directly cited from multiple documents provided by the Utah DMV, which outline the steps and requirements for using a bill of sale to initiate the vehicle titling and registration process."
90.md,How do I replace my cab card?,"To replace your cab card, you will need to request a duplicate registration. This can be done through the Utah DMV's services. You can find the option to request a duplicate registration on their website under various sections such as ""REQUEST A DUPLICATE REGISTRATION"" .

References:
- https://dmv.utah.gov/plates/antique
 - https://dmv.utah.gov/titles/transfer-outofstate
 - https://dmv.utah.gov/plates/goldstar
 - https://dmv.utah.gov/vehicles/rebuilt/reconstructed
 - https://dmv.utah.gov/faq/permits","High

**Reasoning**: The information about requesting a duplicate registration is mentioned consistently across multiple retrieved documents, indicating that it is the correct process for replacing a cab card."
91.md,Where do I get a 2290?,"You can obtain IRS Form 2290, ""Schedule of Heavy Highway Vehicles,"" either online or in person at a local IRS office. Here are the details:

1. **Online**: Copies of the form 2290 may be obtained online from the [Utah DMV website](aHR0cHM6Ly9zdGFkdmVudHVyZXdvcmtzZGV2MDAxLmJsb2IuY29yZS53aW5kb3dzLm5ldC91dGFoZG12L2h0bWwvZm9ybTIyOTAuaHRtbA2) or directly from the IRS website.

2. **In Person**:
   - **Salt Lake Office**: 178 South Rio Grande Street, Salt Lake City, UT 84101
   - **Ogden Office**: 324 25th Street, Ogden, UT 84401

   Before visiting an office to pay or to file your form, you must make an appointment by calling 844-545-5640. The office hours for both locations are 8:30 am � 4:30 PM .

References:
- https://dmv.utah.gov/motorcarriers/form2290
 - https://dmv.utah.gov/motorcarriers
 - https://dmv.utah.gov/motorcarriers/assessment-fees
 - https://dmv.utah.gov/general/forms
 - https://dmv.utah.gov/vehicles/commercial","High
**Reasoning**: The information provided is directly sourced from the Utah DMV website, which is a reliable and authoritative source for such details."
92.md,At what weight do I need a 2290?,"You need to submit the IRS Form 2290 - Schedule 1, ""Schedule of Heavy Highway Vehicles,"" for all power units with a registered weight over 54,000 lbs GVW (Gross Vehicle Weight) .

References:
- https://dmv.utah.gov/motorcarriers/form2290
 - https://dmv.utah.gov/motorcarriers/inspection-requirements
 - https://dmv.utah.gov/motorcarriers
 - https://dmv.utah.gov/vehicles/commercial
 - https://dmv.utah.gov/motorcarriers/assessment-fees","High. The information is clearly stated in the retrieved documents, specifying the requirement based on the registered weight of the vehicle."
